number,code,name,"full name"
1,1F600,"grinning face","grinning face; face; grin; grinning face"
2,1F603,"grinning face with big eyes","grinning face with big eyes; face; grinning face with big eyes; mouth; open; smile"
3,1F604,"grinning face with smiling eyes","grinning face with smiling eyes; eye; face; grinning face with smiling eyes; mouth; open; smile"
4,1F601,"beaming face with smiling eyes","beaming face with smiling eyes; beaming face with smiling eyes; eye; face; grin; smile"
5,1F606,"grinning squinting face","grinning squinting face; face; grinning squinting face; laugh; mouth; satisfied; smile"
6,1F605,"grinning face with sweat","grinning face with sweat; cold; face; grinning face with sweat; open; smile; sweat"
7,1F923,"rolling on the floor laughing","rolling on the floor laughing; face; floor; laugh; rolling; rolling on the floor laughing"
8,1F602,"face with tears of joy","face with tears of joy; face; face with tears of joy; joy; laugh; tear"
9,1F642,"slightly smiling face","slightly smiling face; face; slightly smiling face; smile"
10,1F643,"upside-down face","upside-down face; face; upside-down"
11,1F609,"winking face","winking face; face; wink; winking face"
12,1F60A,"smiling face with smiling eyes","smiling face with smiling eyes; blush; eye; face; smile; smiling face with smiling eyes"
13,1F607,"smiling face with halo","smiling face with halo; angel; face; fantasy; halo; innocent; smiling face with halo"
14,1F970,"smiling face with hearts","smiling face with hearts; adore; crush; hearts; in love; smiling face with hearts"
15,1F60D,"smiling face with heart-eyes","smiling face with heart-eyes; eye; face; love; smile; smiling face with heart-eyes"
16,1F929,star-struck,"star-struck; eyes; face; grinning; star; star-struck; starry-eyed"
17,1F618,"face blowing a kiss","face blowing a kiss; face; face blowing a kiss; kiss"
18,1F617,"kissing face","kissing face; face; kiss; kissing face"
19,263A,"smiling face","smiling face; face; outlined; relaxed; smile; smiling face"
20,1F61A,"kissing face with closed eyes","kissing face with closed eyes; closed; eye; face; kiss; kissing face with closed eyes"
21,1F619,"kissing face with smiling eyes","kissing face with smiling eyes; eye; face; kiss; kissing face with smiling eyes; smile"
22,1F972,"smiling face with tear","smiling face with tear; grateful; proud; relieved; smiling; smiling face with tear; tear; touched"
23,1F60B,"face savoring food","face savoring food; delicious; face; face savoring food; savouring; smile; yum"
24,1F61B,"face with tongue","face with tongue; face; face with tongue; tongue"
25,1F61C,"winking face with tongue","winking face with tongue; eye; face; joke; tongue; wink; winking face with tongue"
26,1F92A,"zany face","zany face; eye; goofy; large; small; zany face"
27,1F61D,"squinting face with tongue","squinting face with tongue; eye; face; horrible; squinting face with tongue; taste; tongue"
